b,bb,g,path,r
-4.85473149373,-3.70283648835,-1.89118556353,ANd9GcQD8mhFLRE7B4gNQVSYZX0fkZTQWAnHKy373A8jrGj7wO_S3Ep6nw.jpg,40.1546159045
-29.0529939141,-17.5890154327,-14.3433491009,ANd9GcQDDNcWydnlaWszUgPNTmi9KP6p4Qf3ztL2q6oQkH5UL8WIJzzh.jpg,51.2143173176
17.3008621973,-14.0732068319,-0.713253028985,ANd9GcQDGSZ9N43B3iWlHPTDfWmshtZTMZh2Nqno3ebfOemfLsqaZ5Pjpw.jpg,43.428382404
14.2304961224,-12.4434957547,19.3725555792,ANd9GcQDNJchDVh5pfEMu0TT8RCOIJxvxbiVsVaQ_8btYQ37rwg1boJ-.jpg,40.8606383595
-6.49320954509,-18.9947501656,-14.3340544988,ANd9GcQdO8fq0bjkTkbki3pvNinXBfPie8i1BLOT3XAXIlb_RsYiyK1Tdw.jpg,73.5251179045
-5.17363770771,-8.77096368491,-6.07334111575,ANd9GcQDp3treJcAK40io_glROJ38Y1HYU5EJWu67xis78uQl1M8Ks9B.jpg,33.7751783063
21.0547445385,-18.9181149457,7.54913478747,ANd9GcQdpiUBzFbkgMETcOsZjsAdwf8eIGMTUGqzskpvug9hFJr-iIuO.jpg,34.069499058
3.34351991063,6.22591251389,1.62294902731,ANd9GcQDQ1Pvj82zVMLL0-fImRm3XV_NpctgXMkKGgrvKORUeuocfkopjw.jpg,57.150420899
6.41492662041,-3.57829693905,1.89293497215,ANd9GcQDqkIaGATpjrQtDahjItrY47WJ_eMiC5IQXhowlHg64UvunTrnVw.jpg,32.9317022493
25.2214573302,-1.44018767527,27.4378693869,ANd9GcQe3JTRLlmBK2bobjkG2S2fPFERWhCdsixliYq9irzDnZDQ35X2.jpg,38.6063694959
18.1239373779,-2.63176426181,5.77890209668,ANd9GcQEglyvZZi7ZDFViCyIbaKTRYt-3Pj-_hJzGiYifLUY8iksy8Ii.jpg,40.1650564434
40.6952725922,-30.9415676211,-18.0374805373,ANd9GcQEHNCfr8JIHAil_oyHxXXj97VRu5IGMg_cya2sv_QosZ3L0zM.jpg,52.2337830433
9.42058536867,-16.5928183889,0.894436903142,ANd9GcQeLQsxHSSmyUAj-zntq6-Puq6rgxIIABo-qA6i44WdzHBEYZD5kw.jpg,34.2061888332
-7.55090908254,-12.8101513382,-7.37831796057,ANd9GcQelVb2it2eod9HF62Rteyb7lMmIXd12IwFrf5RUWZag3UB1jzLoA.jpg,64.2342189664
31.0480614916,-9.0057808602,60.1162177388,ANd9GcQeme67tTCcvFbjg3xtvKPls3300iLBXVDEUfy8mx7yWaCAIqEWAw.jpg,36.5043240065
-6.12577544195,-13.4226256368,-5.03672843503,ANd9GcQEUIzEWx-HFx1_qZLX4Jx9GIpOdNPIVb7DnoLjND_5NlWG_ys7AA.jpg,42.7780632084
